modality_1,modality_1_timepoint,modality_2,modality_2_timepoint,cell-line,broad_sample_modality_1,target_gene_sample_1,broad_sample_modality_2,target_gene_sample_2,correlation,moa_compound,well_modality_1,well_modality_2,value_95
compound,24.0,orf,96.0,A549,BRD-K91543828-001-02-0,ADA,ccsbBroad304_14720,NTRK1,0.596654830484822,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,P02,D01,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-K48830578-001-01-9,GPR119,ccsbBroad304_00023,ADA,0.5763957414382004,FAAH inhibitor,P03,P03,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-K48830578-001-01-9,GPR119,ccsbBroad304_14720,NTRK1,0.5720386013585845,FAAH inhibitor,P03,D01,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-K97010173-001-04-1,CYP3A4,ccsbBroad304_14931,DYRK1B,0.548267669741055,chelating agent,L14,G13,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-K40109029-001-02-9,TGFBR1,ccsbBroad304_00023,ADA,0.5467449315662021,ALK tyrosine kinase receptor inhibitor,P07,P03,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-A72767275-003-01-6,OPRM1,ccsbBroad304_00023,ADA,0.5419452579151443,opioid receptor antagonist,P04,P03,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-K62949423-001-03-1,CDK4,ccsbBroad304_00023,ADA,0.531839070104507,CDK inhibitor,D01,P03,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-A72767275-003-01-6,OPRM1,ccsbBroad304_14720,NTRK1,0.5305675120304811,opioid receptor antagonist,P04,D01,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-K62949423-001-03-1,CDK4,ccsbBroad304_14688,LCK,0.5299844552358225,CDK inhibitor,D01,B18,0.25480499705783655
compound,24.0,orf,96.0,A549,BRD-K93632104-001-17-2,AKR1C1,ccsbBroad304_01649,TBXAS1,0.5282048492714948,cyclooxygenase inhibitor,O03,J24,0.25480499705783655
compound,24.0,orf,48.0,A549,BRD-K93779381-001-01-9,PRKCE,ccsbBroad304_14635,PTK2B,0.6117397935296751,PKC activator,M11,J18,0.2074749896603231
compound,24.0,orf,48.0,A549,BRD-K22482860-001-20-6,KCNH7,ccsbBroad304_00376,CSK,0.5843892018488919,potassium channel blocker,D02,B04,0.2074749896603231
